,Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,Unnamed: 15
0,V Kohli (INDIA),2010-2019,75,70,20,2633,94*,52.66,1907,138.07,0,24,2,247,71,
1,RG Sharma (INDIA),2007-2019,104,96,14,2633,118,32.1,1905,138.21,4,19,6,234,120,
2,MJ Guptill (NZ),2009-2019,83,80,7,2436,105,33.36,1810,134.58,2,15,2,215,113,
3,Shoaib Malik (ICC/PAK),2006-2019,111,104,30,2263,75,30.58,1824,124.06,0,7,1,186,61,
4,BB McCullum (NZ),2005-2015,71,70,10,2140,123,35.66,1571,136.21,2,13,3,199,91,
5,DA Warner (AUS),2009-2019,76,76,8,2079,100*,30.57,1476,140.85,1,15,5,203,86,
6,EJG Morgan (ENG),2009-2019,86,84,17,2002,91,29.88,1475,135.72,0,11,3,151,96,
7,Mohammad Shahzad (AFG),2010-2018,65,65,3,1936,118*,31.22,1436,134.81,1,12,3,218,72,
8,JP Duminy (SA),2007-2019,81,75,25,1934,96*,38.68,1532,126.24,0,11,6,138,71,
9,PR Stirling (IRE),2009-2019,72,71,6,1929,91,29.67,1401,137.68,0,16,8,233,59,
10,Mohammad Hafeez (PAK),2006-2018,89,86,8,1908,86,24.46,1643,116.12,0,10,6,196,51,
11,TM Dilshan (SL),2006-2016,80,79,12,1889,104*,28.19,1567,120.54,1,13,10,223,33,
12,AJ Finch (AUS),2011-2019,58,58,9,1878,172,38.32,1200,156.5,2,11,4,182,90,
13,LRPL Taylor (NZ),2006-2019,95,87,19,1743,63,25.63,1430,121.88,0,5,5,110,65,
14,Umar Akmal (PAK),2009-2019,84,79,14,1690,94,26.0,1377,122.73,0,8,10,122,55,
15,AB de Villiers (SA),2006-2017,78,75,11,1672,79*,26.12,1237,135.16,0,10,5,140,60,
16,H Masakadza (ZIM),2006-2019,66,66,2,1662,93*,25.96,1418,117.2,0,11,1,151,65,
17,AD Hales (ENG),2011-2019,60,60,7,1644,116*,31.01,1203,136.65,1,8,4,175,55,
18,CH Gayle (WI),2006-2019,58,54,4,1627,117,32.54,1139,142.84,2,13,3,138,105,
19,MS Dhoni (INDIA),2006-2019,98,85,42,1617,56,37.6,1282,126.13,0,2,1,116,52,
20,Tamim Iqbal (BDESH/ICC/World),2007-2018,75,75,5,1613,103*,23.04,1383,116.63,1,6,6,174,41,
21,MN Samuels (WI),2007-2018,67,65,10,1611,89*,29.29,1386,116.23,0,10,0,144,69,
22,SK Raina (INDIA),2006-2018,78,66,11,1605,101,29.18,1190,134.87,1,5,3,145,58,
23,GJ Maxwell (AUS),2012-2019,61,54,9,1576,145*,35.02,985,160.0,3,7,1,133,81,
24,Shakib Al Hasan (BDESH),2006-2019,76,76,10,1567,84,23.74,1266,123.77,0,9,5,163,33,
25,C Munro (NZ),2012-2019,60,57,7,1546,109*,30.92,966,160.04,3,9,5,114,100,
26,KS Williamson (NZ),2011-2019,57,55,7,1505,73*,31.35,1236,121.76,0,9,2,158,26,
27,S Dhawan (INDIA),2011-2019,58,57,3,1504,92,27.85,1173,128.21,0,9,1,166,46,
28,KJ O'Brien (IRE),2008-2019,90,83,10,1504,124,20.6,1124,133.8,1,3,10,117,69,
29,DPMD Jayawardene (SL),2006-2014,55,55,8,1493,100,31.76,1121,133.18,1,9,4,173,33,
30,Ahmed Shehzad (PAK),2009-2019,59,59,2,1471,111*,25.8,1282,114.74,1,7,2,157,33,
31,SR Watson (AUS),2006-2016,58,56,6,1462,124*,29.24,1006,145.32,1,10,3,115,83,
32,Mahmudullah (BDESH),2007-2019,83,76,16,1430,64*,23.83,1166,122.64,0,4,2,113,48,
33,Shahid Afridi (ICC/PAK),2006-2018,99,91,12,1416,54*,17.92,944,150.0,0,4,8,103,73,
34,Babar Azam (PAK),2016-2019,36,36,8,1405,97*,50.17,1102,127.49,0,12,0,139,20,
35,KJ Coetzer (SCOT),2008-2019,58,56,2,1386,89,25.66,1136,122.0,0,6,3,144,45,
36,KC Sangakkara (SL),2006-2014,56,53,9,1382,78,31.4,1156,119.55,0,8,2,139,20,
37,F du Plessis (SA/World),2012-2019,44,44,6,1363,119,35.86,1006,135.48,1,8,0,126,45,
38,Mohammad Nabi (AFG),2010-2019,75,70,11,1316,89,22.3,902,145.89,0,4,4,83,78,
39,DA Miller (SA/World),2010-2019,72,62,18,1309,101*,29.75,935,140.0,1,2,0,91,57,
40,HM Amla (SA/World),2009-2018,44,44,6,1277,97*,33.6,967,132.05,0,8,2,146,26,
41,Mushfiqur Rahim (BDESH),2006-2019,84,76,13,1265,72*,20.07,1060,119.33,0,5,5,110,31,
42,JC Buttler (ENG),2011-2018,66,58,11,1260,73*,26.8,912,138.15,0,7,3,102,53,
43,RD Berrington (SCOT),2008-2019,61,54,10,1247,100,28.34,967,128.95,1,3,6,117,36,
44,GC Wilson (IRE),2008-2019,78,65,8,1239,65*,21.73,1185,104.55,0,3,4,105,20,
45,Yuvraj Singh (INDIA),2007-2017,58,51,9,1177,77*,28.02,863,136.38,0,8,1,77,74,
46,KP Pietersen (ENG),2005-2013,37,36,5,1176,79,37.93,831,141.51,0,7,1,119,32,
47,MDKJ Perera (SL),2013-2019,42,42,0,1171,84,27.88,867,135.06,0,11,0,114,41,
48,NLTC Perera (ICC/SL/World),2010-2019,79,70,21,1169,61,23.85,767,152.41,0,3,8,87,62,
49,Asghar Afghan (AFG),2010-2019,66,60,4,1167,62,20.83,1102,105.89,0,3,4,69,58,
0,DJ Bravo (WI),2006-2016,66,59,12,1142,66*,24.29,981,116.41,0,4,4,67,49,
1,KL Rahul (INDIA),2016-2019,34,31,5,1138,110*,43.76,777,146.46,2,8,1,102,50,
2,BN Cooper (NL),2013-2019,51,48,9,1094,91*,28.05,890,122.92,0,7,5,96,36,
3,WTS Porterfield (IRE),2008-2018,61,59,6,1079,72,20.35,971,111.12,0,3,5,120,23,
4,KA Pollard (WI),2008-2019,68,58,12,1058,68,23.0,819,129.18,0,4,1,69,61,
5,AD Mathews (SL),2009-2018,72,57,18,1055,81*,27.05,893,118.14,0,5,1,67,35,
6,CS MacLeod (SCOT),2009-2019,49,47,7,1042,74,26.05,905,115.13,0,7,4,93,21,
7,Q de Kock (SA),2012-2019,38,38,5,1018,79*,30.84,787,129.35,0,4,3,117,32,
8,LMP Simmons (WI),2007-2019,49,48,7,990,82*,24.14,848,116.74,0,6,6,92,37,
9,Kamran Akmal (PAK),2006-2017,58,53,6,987,73,21.0,825,119.63,0,5,7,100,31,
10,HG Munsey (SCOT),2015-2019,38,36,3,987,127*,29.9,640,154.21,1,5,4,114,45,
11,Samiullah Shinwari (AFG),2010-2019,62,55,10,985,61,21.88,829,118.81,0,2,2,73,37,
12,CL White (AUS),2007-2014,47,44,14,984,85*,32.8,740,132.97,0,5,3,71,44,
13,GC Smith (SA),2005-2011,33,33,2,982,89*,31.67,770,127.53,0,5,1,123,26,
14,Shaiman Anwar (UAE),2014-2019,32,32,3,971,117*,33.48,770,126.1,1,6,1,75,43,
15,Sabbir Rahman (BDESH),2014-2019,44,43,5,946,80,24.89,783,120.81,0,4,2,89,28,
16,G Gambhir (INDIA),2007-2012,37,36,2,932,75,27.41,783,119.02,0,7,2,109,10,
17,Najibullah Zadran (AFG),2012-2019,57,48,18,918,69*,30.6,663,138.46,0,3,1,60,48,
18,JE Root (ENG),2012-2019,32,30,5,893,90*,35.72,707,126.3,0,5,2,92,16,
19,MP O'Dowd (NL),2015-2019,36,35,2,866,69,26.24,718,120.61,0,6,0,83,19,
20,E Chigumbura (ZIM),2006-2019,54,53,9,852,54*,19.36,597,142.71,0,3,6,58,51,
21,E Lewis (WI),2016-2019,29,28,1,833,125*,30.85,544,153.12,2,5,3,54,67,
22,SC Williams (ZIM),2006-2019,38,38,5,821,66,24.87,630,130.31,0,6,4,75,24,
23,BRM Taylor (ZIM),2006-2019,38,38,5,818,75*,24.78,678,120.64,0,5,5,81,23,
24,Sarfaraz Ahmed (PAK),2010-2019,58,41,12,812,89*,28.0,641,126.67,0,3,2,79,15,
25,LD Chandimal (SL),2010-2018,54,47,4,800,58,18.6,766,104.43,0,4,0,73,16,
26,W Barresi (NL),2012-2019,42,41,6,799,75*,22.82,695,114.96,0,4,3,69,21,
27,Soumya Sarkar (BDESH),2015-2019,46,46,0,791,51,17.19,648,122.06,0,1,8,81,28,
28,A Balbirnie (IRE),2015-2019,37,33,2,790,83,25.48,593,133.22,0,4,3,94,12,
29,Misbah-ul-Haq (PAK),2007-2012,39,34,13,788,87*,37.52,715,110.2,0,3,2,45,26,
30,P Khadka (NEPAL),2014-2019,30,29,3,777,106*,29.88,602,129.06,1,4,3,79,26,
31,ADS Fletcher (WI),2008-2018,42,40,4,765,84*,21.25,707,108.2,0,6,6,54,37,
32,LJ Wright (ENG),2007-2014,51,45,5,759,99*,18.97,554,137.0,0,4,9,68,31,
33,Fakhar Zaman (PAK),2017-2019,34,33,0,756,91,22.9,553,136.7,0,4,2,86,22,
34,DJ Hussey (AUS),2008-2012,39,36,3,756,88*,22.9,623,121.34,0,3,4,41,34,
35,MH Cross (SCOT),2013-2019,43,35,6,755,66*,26.03,593,127.31,0,5,3,77,22,
36,JJ Roy (ENG),2014-2018,32,32,0,743,78,23.21,512,145.11,0,4,4,75,35,
37,SJ Myburgh (NL),2012-2019,33,32,2,741,71*,24.7,635,116.69,0,5,6,82,22,
38,J Charles (WI),2011-2016,34,33,0,724,84,21.93,595,121.68,0,4,4,84,26,
39,MEK Hussey (AUS),2005-2012,38,30,11,721,60*,37.94,529,136.29,0,4,1,58,25,
40,RS Bopara (ENG),2008-2014,38,35,10,711,65*,28.44,599,118.69,0,3,0,54,17,
41,CK Kapugedera (SL),2006-2017,43,38,7,703,50,22.67,591,118.95,0,1,0,58,25,
42,Muhammad Usman (UAE),2016-2019,34,32,5,695,89*,25.74,593,117.2,0,3,3,61,21,
43,CO Obuya (KENYA),2007-2019,35,33,6,691,75*,25.59,649,106.47,0,4,3,47,17,
44,TP Ura (PNG),2015-2019,23,23,5,671,107*,37.27,476,140.96,1,4,0,54,31,
45,JH Kallis (SA),2005-2012,25,23,4,666,73,35.05,558,119.35,0,5,0,56,20,
46,PW Borren (NL),2008-2017,43,38,5,638,57,19.33,524,121.75,0,1,2,60,18,
47,D Ramdin (WI),2006-2019,71,50,16,636,55*,18.7,551,115.42,0,1,3,51,19,
48,ST Jayasuriya (SL),2006-2011,31,30,3,629,88,23.29,487,129.15,0,4,4,76,23,
49,CJ Chibhabha (ZIM),2006-2018,33,32,0,621,67,19.4,570,108.94,0,5,3,72,12,
0,MR Swart (NL),2012-2016,26,25,2,621,89,27.0,537,115.64,0,4,1,53,16,
1,MN Waller (ZIM),2011-2018,32,31,8,613,68,26.65,443,138.37,0,1,2,42,28,
2,Rohan Mustafa (UAE),2014-2019,38,37,1,605,77,16.8,521,116.12,0,2,4,71,17,
3,JM Bairstow (ENG),2011-2019,34,29,6,603,68,26.21,450,134.0,0,3,2,56,25,
4,Jatinder Singh (OMAN),2015-2019,25,25,2,599,68*,26.04,535,111.96,0,3,1,63,6,
5,Salman Butt (PAK),2007-2010,24,23,2,595,74,28.33,551,107.98,0,3,1,66,10,
6,RR Hendricks (SA),2014-2019,22,22,0,593,74,26.95,487,121.76,0,4,2,71,8,
7,DJM Short (AUS),2018-2019,20,20,2,592,76,32.88,490,120.81,0,4,1,66,15,
8,MK Pandey (INDIA),2015-2019,32,27,12,587,79*,39.13,478,122.8,0,2,2,40,16,
9,DJG Sammy (WI/World),2007-2017,68,52,18,587,42*,17.26,398,147.48,0,0,3,45,31,
10,PD Collingwood (ENG/World),2005-2017,36,33,2,583,79,18.8,459,127.01,0,3,3,37,24,
11,DR Smith (WI),2006-2015,33,32,0,582,72,18.18,474,122.78,0,3,1,62,31,
12,SB Styris (NZ),2005-2010,31,29,2,578,66,21.4,483,119.66,0,1,0,40,25,
13,SPD Smith (AUS),2010-2019,36,28,7,577,90,27.47,448,128.79,0,4,1,53,12,
14,Nizakat Khan (HKG),2014-2019,34,32,0,576,62,18.0,478,120.5,0,2,4,51,19,
15,JA Morkel (SA),2005-2015,50,38,11,572,43,21.18,402,142.28,0,0,1,29,39,
16,MJ Lumb (ENG),2010-2014,27,27,1,552,63,21.23,413,133.65,0,3,1,64,21,
17,Zeeshan Maqsood (OMAN),2015-2019,29,25,4,542,56,25.8,481,112.68,0,2,2,66,12,
18,Babar Hayat (HKG),2014-2017,24,24,4,541,122,27.05,433,124.94,1,2,2,45,20,
19,Karim Sadiq (AFG),2010-2018,36,36,0,538,72,14.94,493,109.12,0,1,4,61,10,
20,RN ten Doeschate (NL),2008-2019,22,22,10,533,59,44.41,400,133.25,0,3,1,27,19,
21,C Kieswetter (ENG),2010-2012,25,25,1,526,63,21.91,470,111.91,0,3,2,47,23,
22,RR Patel (KENYA),2008-2019,30,26,4,526,55,23.9,414,127.05,0,3,1,31,31,
23,Hazratullah Zazai (AFG),2016-2019,13,13,1,519,162*,43.25,319,162.69,1,2,1,46,37,
24,F Behardien (SA),2012-2018,38,30,14,518,64*,32.37,404,128.21,0,1,1,37,16,
25,V Sibanda (ZIM),2007-2016,26,26,1,511,59,20.44,503,101.59,0,1,3,52,11,
26,Noor Ali Zadran (AFG),2010-2017,20,20,1,506,63,26.63,497,101.81,0,3,1,45,6,
27,Nawroz Mangal (AFG),2010-2017,32,32,4,505,65*,18.03,453,111.47,0,2,4,42,19,
28,Imran Nazir (PAK),2007-2012,25,24,1,500,72,21.73,370,135.13,0,3,2,59,22,
29,Liton Das (BDESH),2015-2019,25,25,0,497,61,19.88,360,138.05,0,2,2,44,22,
30,Shafiqullah (AFG),2010-2019,46,42,12,494,51*,16.46,340,145.29,0,1,5,35,31,
31,MJ Clarke (AUS),2005-2010,34,28,5,488,67,21.21,473,103.17,0,1,2,29,10,
32,CJ Anderson (NZ),2012-2018,31,24,4,485,94*,24.25,351,138.17,0,2,3,30,26,
33,G Malla (NEPAL),2014-2019,24,23,0,482,107,20.95,389,123.9,1,1,1,46,21,
34,C de Grandhomme (NZ),2012-2019,33,31,7,479,59,19.95,321,149.22,0,3,3,27,29,
35,TP Visee (NL),2015-2019,27,27,0,478,78,17.7,316,151.26,0,3,4,65,17,
36,MS Chapman (HKG/NZ),2014-2018,24,23,2,475,63*,22.61,416,114.18,0,1,0,38,13,
37,JDP Oram (NZ),2005-2012,36,30,7,474,66*,20.6,339,139.82,0,2,3,38,22,
38,GJ Bailey (AUS/World),2012-2017,30,26,7,473,63,24.89,346,136.7,0,2,1,37,20,
39,BKG Mendis (SL),2016-2019,24,24,0,473,79,19.7,353,133.99,0,5,2,40,21,
40,Gulbadin Naib (AFG),2012-2019,45,37,10,472,56*,17.48,393,120.1,0,1,3,33,22,
41,NJ O'Brien (IRE),2008-2016,30,28,2,466,50,17.92,475,98.1,0,1,0,40,7,
42,AD Russell (WI),2011-2018,47,39,13,465,47,17.88,329,141.33,0,0,6,30,32,
43,PM Seelaar (NL),2008-2019,69,40,11,464,96*,16.0,423,109.69,0,1,1,31,8,
44,JEC Franklin (NZ),2006-2013,38,31,8,463,60,20.13,391,118.41,0,2,2,28,23,
45,CR Ervine (ZIM),2010-2019,22,21,1,461,68*,23.05,454,101.54,0,3,1,43,13,
46,A Vala (PNG),2015-2019,26,24,4,460,68,23.0,427,107.72,0,2,0,39,13,
47,DJ Malan (ENG),2017-2019,9,9,1,458,103*,57.25,293,156.31,1,5,0,47,20,
48,JD Ryder (NZ),2008-2014,22,21,1,457,62,22.85,358,127.65,0,3,2,47,18,
49,RE van der Merwe (NL/SA),2009-2019,43,29,12,454,75*,26.7,345,131.59,0,2,4,36,13,
0,Khawar Ali (OMAN),2015-2019,29,28,0,453,50,16.17,482,93.98,0,1,2,48,12,
1,MD Gunathilaka (SL),2016-2019,21,21,0,452,57,21.52,365,123.83,0,2,0,49,12,
2,Mohammad Ashraful (BDESH),2007-2013,23,23,0,450,65,19.56,356,126.4,0,2,2,48,11,
3,Rameez Shahzad (UAE),2016-2019,22,21,3,449,54,24.94,404,111.13,0,1,2,37,13,
4,Usman Ghani (AFG),2015-2019,19,19,1,445,73,24.72,407,109.33,0,3,0,44,12,
5,Younis Khan (PAK),2006-2010,25,23,3,442,51,22.1,364,121.42,0,2,2,31,12,
6,NR Kumar (CAN),2012-2019,18,16,2,434,83,31.0,336,129.16,0,3,1,34,13,
7,MD Shanaka (SL),2015-2019,35,35,7,434,54,15.5,386,112.43,0,1,7,29,24,
8,N Dickwella (SL),2016-2019,23,22,0,429,68,19.5,309,138.83,0,1,2,57,8,
9,Muhammad Tanveer (QAT),2019-2019,15,15,4,428,57*,38.9,331,129.3,0,4,0,36,22,
10,PL Mommsen (SCOT),2012-2016,24,19,7,419,68*,34.91,329,127.35,0,2,1,32,11,
11,Syed Aziz (MAL),2019-2019,14,14,2,415,87,34.58,297,139.73,0,4,2,43,16,
12,RR Pant (INDIA),2017-2019,26,24,4,409,65*,20.45,336,121.72,0,2,3,28,18,
13,Aqib Ilyas (OMAN),2015-2019,22,22,4,408,60,22.66,356,114.6,0,2,1,47,7,
14,TH David (SGP),2019-2019,12,12,1,408,77,37.09,274,148.9,0,2,0,36,17,
15,MG Erasmus (NAM),2019-2019,16,14,3,407,72,37.0,293,138.9,0,4,0,33,20,
16,MW Machan (SCOT),2013-2016,13,13,3,407,67*,40.7,318,127.98,0,3,0,37,7,
17,WU Tharanga (SL),2006-2018,26,26,1,407,47,16.28,330,123.33,0,0,3,42,12,
18,Sikandar Raza (ZIM),2013-2019,32,30,0,406,59,13.53,384,105.72,0,1,0,34,8,
19,EC Joyce (ENG/IRE),2006-2014,18,15,3,405,78*,33.75,431,93.96,0,1,0,30,5,
20,TLW Cooper (NL),2012-2016,18,17,3,404,72*,28.85,306,132.02,0,2,2,38,16,
21,BJ Haddin (AUS),2006-2014,34,29,6,402,47,17.47,351,114.52,0,0,2,30,13,
22,RT Ponting (AUS),2005-2009,17,16,2,401,98*,28.64,302,132.78,0,2,2,41,11,
23,HH Gibbs (SA),2005-2010,23,23,1,400,90*,18.18,318,125.78,0,3,4,45,12,
24,KD Karthik (ICC/INDIA),2006-2019,32,26,14,399,48,33.25,278,143.52,0,0,2,42,15,
25,V Sehwag (INDIA),2006-2012,19,18,0,394,68,21.88,271,145.38,0,2,1,43,16,
26,Abdul Razzaq (PAK),2006-2013,32,29,10,393,46*,20.68,337,116.61,0,0,2,21,21,
27,Rizwan Cheema (CAN),2008-2019,24,24,2,389,72,17.68,314,123.88,0,2,5,33,28,
28,SJ Baard (NAM),2019-2019,13,13,2,387,92,35.18,305,126.88,0,4,1,32,13,
29,AA Obanda (KENYA),2007-2019,30,28,2,381,79,14.65,362,105.24,0,1,5,49,7,
30,CJA Amini (PNG),2015-2019,23,18,4,377,60,26.92,324,116.35,0,2,2,16,13,
31,Mashrafe Mortaza (BDESH),2006-2017,54,39,11,377,36,13.46,277,136.1,0,0,6,28,23,
32,AM Rahane (INDIA),2011-2016,20,20,2,375,61,20.83,331,113.29,0,1,2,32,6,
33,J Rasu (VAN),2019-2019,13,13,0,374,74,28.76,338,110.65,0,2,0,27,16,
34,Hussain Talat (PAK),2018-2019,14,14,1,371,63,28.53,309,120.06,0,2,1,35,5,
35,Nasir Hossain (BDESH),2011-2016,31,24,4,370,50*,18.5,326,113.49,0,2,2,30,7,
36,JW Jenner (JER),2019-2019,17,17,2,365,71,24.33,299,122.07,0,3,2,24,14,
37,PJ Moor (ZIM),2016-2019,21,19,4,364,92*,24.26,286,127.27,0,1,0,22,24,
38,Nasir Jamshed (PAK),2012-2013,18,18,1,363,56,21.35,320,113.43,0,2,1,34,12,
39,NS Dhaliwal (CAN),2019-2019,12,11,2,361,69,40.11,291,124.05,0,3,0,22,16,
40,Sharjeel Khan (PAK),2013-2016,15,15,0,360,59,24.0,262,137.4,0,2,0,48,13,
41,L Ronchi (AUS/ICC/NZ),2008-2018,33,26,6,359,51*,17.95,256,140.23,0,1,5,30,14,
42,R Sandaruwan (KUW),2019-2019,10,10,1,358,103,39.77,216,165.74,1,2,2,29,24,
43,S Bau (PNG),2016-2019,23,17,3,356,40*,25.42,338,105.32,0,0,1,21,11,
44,Anamul Haque (BDESH),2012-2015,13,13,2,355,58,32.27,301,117.94,0,1,1,38,12,
45,KD Shah (HKG),2014-2019,26,22,3,351,79,18.47,340,103.23,0,2,3,26,10,
46,SW Billings (ENG/ICC),2015-2019,26,23,3,348,87,17.4,255,136.47,0,2,1,33,11,
47,S Chandramohan (SGP),2019-2019,12,12,1,348,66,31.63,292,119.17,0,3,3,33,15,
48,OA Shah (ENG),2007-2009,17,15,1,347,55*,24.78,284,122.18,0,1,0,26,13,
49,SO Tikolo (KENYA),2007-2013,15,15,3,345,56*,28.75,281,122.77,0,2,3,46,6,
0,S Chanderpaul (WI),2006-2010,22,22,5,343,41,20.17,347,98.84,0,0,0,34,5,
1,DM Bravo (WI),2010-2019,20,18,1,340,43*,20.0,317,107.25,0,0,3,28,13,
2,JM Vince (ENG),2015-2019,12,12,0,340,59,28.33,275,123.63,0,1,0,34,9,
3,A Symonds (AUS),2005-2009,14,11,4,337,85*,48.14,199,169.34,0,2,2,33,10,
4,N Davin (NAM),2019-2019,16,16,1,335,54,22.33,216,155.09,0,1,1,33,15,
5,SA Edwards (NL),2018-2019,29,22,8,334,42*,23.85,229,145.85,0,0,1,33,6,
6,Asif Ali (PAK),2018-2019,25,24,6,331,41*,18.38,258,128.29,0,0,1,15,19,
7,Faisal Javed (QAT),2019-2019,15,15,0,330,61,22.0,212,155.66,0,2,1,45,11,
8,SR Thompson (IRE),2014-2019,41,30,8,328,56,14.9,254,129.13,0,1,1,23,14,
9,RJ Nicol (NZ),2010-2013,21,19,0,327,58,17.21,296,110.47,0,2,2,33,11,
10,RR Rossouw (SA),2014-2016,15,14,3,327,78,29.72,237,137.97,0,2,2,29,12,
11,Aamir Kaleem (OMAN),2015-2019,25,22,4,325,46*,18.05,306,106.2,0,0,4,26,9,
12,LE Bosman (SA),2006-2010,14,14,1,323,94,24.84,219,147.48,0,3,2,27,20,
13,Anshuman Rath (HKG),2015-2017,20,19,2,321,44,18.88,344,93.31,0,0,1,31,2,
14,N Vanua (PNG),2015-2019,25,22,8,321,54,22.92,211,152.13,0,1,4,12,23,
15,TM Head (AUS),2016-2018,16,15,3,319,48*,26.58,245,130.2,0,0,0,19,10,
16,TL Seifert (NZ),2018-2019,19,18,1,316,84,18.58,228,138.59,0,1,2,22,21,
17,BDH Stevens (JER),2019-2019,17,17,1,316,44,19.75,315,100.31,0,0,1,30,6,
18,GJ Delany (IRE),2019-2019,17,15,3,314,89*,26.16,206,152.42,0,2,0,28,12,
19,N Nipiko (VAN),2019-2019,14,14,2,312,62,26.0,297,105.05,0,2,1,16,13,
20,N Pooran (WI),2016-2019,16,16,3,312,58,24.0,247,126.31,0,2,1,24,17,
21,R Powell (WI),2017-2019,23,18,3,311,54,20.73,250,124.4,0,2,1,26,13,
22,Virandeep Singh (MAL),2019-2019,12,12,0,311,57,25.91,309,100.64,0,1,1,27,7,
23,CR Brathwaite (WI),2011-2019,41,27,6,310,37*,14.76,274,113.13,0,0,3,13,22,
24,HH Pandya (INDIA),2016-2019,40,25,6,310,33*,16.31,210,147.61,0,0,2,18,19,
25,S Vesawkar (NEPAL),2014-2019,17,16,3,310,40,23.84,313,99.04,0,0,0,25,7,
26,ML Hayden (AUS),2005-2007,9,9,3,308,73*,51.33,214,143.92,0,4,0,37,13,
27,NJ Ferraby (JER),2019-2019,14,14,1,303,81*,23.3,257,117.89,0,1,2,38,2,
28,Tamoor Sajjad (QAT),2019-2019,12,11,2,301,68,33.44,216,139.35,0,1,1,24,14,
29,NL McCullum (NZ),2007-2016,63,41,15,299,36*,11.5,297,100.67,0,0,4,19,8,
30,RR Sarwan (WI),2007-2010,18,16,3,298,59,22.92,286,104.19,0,2,1,19,6,
31,L Siaka (PNG),2015-2019,26,22,2,296,39,14.8,271,109.22,0,0,4,26,7,
32,Kamran Khan (QAT),2019-2019,14,14,1,295,52,22.69,220,134.09,0,2,0,26,17,
33,R Mutumbami (ZIM),2015-2019,22,19,4,294,54,19.6,251,117.13,0,1,1,19,15,
34,B Bhandari (NEPAL),2014-2019,27,23,6,292,58*,17.17,262,111.45,0,2,1,23,12,
35,CA Lynn (AUS),2014-2018,18,16,1,291,44,19.4,221,131.67,0,0,1,28,14,
36,HDRL Thirimanne (SL),2012-2016,26,20,2,291,44,16.16,267,108.98,0,0,1,27,5,
37,AN Kervezee (NL),2009-2012,10,10,1,289,58*,32.11,262,110.3,0,2,0,19,6,
38,DS Airee (NEPAL),2018-2019,18,16,2,287,47*,20.5,260,110.38,0,0,0,22,6,
39,IA Karim (KENYA),2013-2019,16,16,3,286,71*,22.0,299,95.65,0,2,2,30,2,
40,A Bagai (CAN),2008-2013,9,9,2,284,67*,40.57,249,114.05,0,2,0,27,0,
41,Mohammad Shahzad (UAE),2015-2017,20,20,2,281,52,15.61,239,117.57,0,1,2,25,11,
42,TC Bruce (NZ),2017-2019,15,15,2,279,59*,21.46,222,125.67,0,2,0,24,7,
43,SO Hetmyer (WI),2018-2019,20,18,1,279,56,16.41,223,125.11,0,1,2,19,17,
44,TAM Siriwardana (SL),2015-2017,22,19,3,275,42,17.18,208,132.21,0,0,4,16,12,
45,AC Gilchrist (AUS),2005-2008,13,13,1,272,48,22.66,192,141.66,0,0,0,27,13,
46,Amjad Javed (UAE),2014-2017,22,18,3,271,76,18.06,242,111.98,0,1,1,17,15,
47,MV Boucher (SA),2005-2010,25,21,6,268,36*,17.86,275,97.45,0,0,0,22,2,
48,Ravinderpal Singh (CAN),2019-2019,12,10,2,266,101,33.25,177,150.28,1,1,1,13,19,
49,PK Matautaava (VAN),2019-2019,10,10,0,265,103,26.5,156,169.87,1,1,2,19,20,
